Fecha, Expresion, Resultado
2026-01-21 08:19,87*,56
2026-01-21 08:20,10or,1
2026-01-21 08:21,1not,0
2026-01-21 08:21,1not,0
2026-01-21 08:21,10and,0
2026-01-21 08:21,00and,0
2026-01-21 08:22,11and,1
2026-01-21 08:22,10or,1
2026-01-21 08:22,10xor,1
2026-01-21 08:23,45**,1024
2026-01-21 08:23,65-1+,2
2026-01-21 09:08,81**,8
2026-01-21 09:11,10and,0
2026-01-21 09:13,00or1or0or,1
2026-01-21 09:14,1not0or,0
2026-01-21 09:18,22+,4
2026-01-21 09:18,4,4
2026-01-21 09:18,22+,4
2026-01-21 09:19,1not1and0or1or,1
2026-01-21 09:19,00/,NaN
2026-01-21 09:20,44+,8
